Time,R-Gun Set Current of Hearth-Coil,R-Gun Current of Hearth-Coil,R-Gun Set Current of Streering-Coil,R-Gun Current of Streering-Coil,R-Gun Set Current of G2-Coil,R-Gun Current of G2-Coil,R-Gun Current of Main Hearth,R-Gun Current of Beam Guide,R-Gun Voltage of Main Hearth,R-Gun Voltage of Beam Guide,R-Gun Discharge Voltage,R-Gun MH Push Up Level,
2023-05-19 17:05:33,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:05:49,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:06:05,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:06:19,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:06:36,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:06:52,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:07:11,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:07:27,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:07:45,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:08:03,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:08:19,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:08:34,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:08:50,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:09:06,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:09:22,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:09:40,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:09:56,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:10:35,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:10:50,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:11:06,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:11:23,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:11:39,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-19 17:12:08,0,0,0,0,0,0,0,0,0,0,0,0,
