Time,LL Pressure,LL Between TP And Ev-1 Pressure,LL Between exhaust DP And EV Pressure,TR(C) Pressure,TR(C) No-Offset Pressure,TR(PH) Pressure,TR Between TP And EV-3 Pressure,UL Pressure,UL Between TP And EV-2 Pressure,SHI TSS Pressure,SHI Between TP And EV-4 Pressure,SHI Between DP And RV-4 Pressure,
2023-04-21 16:01:01,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:01:03,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:01:18,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:01:38,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:01:53,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:02:09,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:03:52,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:03:54,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:04:13,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:04:30,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:04:34,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:04:38,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:04:46,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:04:51,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:04:58,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:05:03,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:05:08,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:05:15,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:05:20,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:05:27,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:05:31,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:05:35,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:05:40,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:05:45,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:05:51,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:05:58,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:06:03,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:06:09,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:06:13,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:06:19,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:06:25,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:06:30,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:06:37,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:06:42,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:06:48,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:06:51,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:06:55,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:07:00,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:07:05,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:07:09,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:07:13,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:07:21,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:07:25,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:07:28,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:07:31,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:07:36,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:07:42,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:07:45,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:07:51,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:07:54,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-21 16:07:58,0,0,0,0,0,0,0,0,0,0,0,0,
