Time,LL Transfer Speed,TR1 Transfer Speed,TR2 Transfer Speed,TR3 Transfer Speed,UL Transfer Speed,TR2 Tray In Detect Sensor,TR2 Tray Out Detect Sensor,
2023-05-29 14:06:18,0,0,0,0,0,0,0,
2023-05-29 14:06:20,0,0,0,0,0,0,0,
2023-05-29 14:06:21,0,0,0,0,0,0,0,
2023-05-29 14:06:22,0,0,0,0,0,0,0,
2023-05-29 14:06:23,0,0,0,0,0,0,0,
2023-05-29 14:06:29,0,0,0,0,0,0,0,
2023-05-29 14:06:31,0,0,0,0,0,0,0,
2023-05-29 14:06:33,0,0,0,0,0,0,0,
2023-05-29 14:06:35,0,0,0,0,0,0,0,
2023-05-29 14:06:37,0,0,0,0,0,0,0,
2023-05-29 14:06:39,0,0,0,0,0,0,0,
2023-05-29 14:06:42,0,0,0,0,0,0,0,
2023-05-29 14:06:44,0,0,0,0,0,0,0,
2023-05-29 14:06:47,0,0,0,0,0,0,0,
2023-05-29 14:06:48,0,0,0,0,0,0,0,
2023-05-29 14:06:49,0,0,0,0,0,0,0,
2023-05-29 14:06:50,0,0,0,0,0,0,0,
2023-05-29 14:06:51,0,0,0,0,0,0,0,
2023-05-29 14:06:52,0,0,0,0,0,0,0,
2023-05-29 14:06:53,0,0,0,0,0,0,0,
2023-05-29 14:06:54,0,0,0,0,0,0,0,
2023-05-29 14:07:00,0,0,0,0,0,0,0,
